cerbon,bebasan,indonesia
nakoni,nakeni,menanyakan
nambah,nambih,bertambah
nambani,ngobati,ngobati
nampa,nampi,menerima
nampan,nampan,baki
namung,namung,namun
nandur,nanem,menanam
nanggoni,manggihi,menemui
nanging,nanging,tetapi
nangis,muwun,menangis
nangtu,nangtos,tentu
napsu,duka,marah
nasehat,nasehat,nasehat
nawa (menawa),menanten,barangkali
nawakaken,nawakaken,menawarkan
nawakna,nawakna,menawarkan
nawala,layang,surat
nawani,nawani,menawari
ndegel,duka,nafsu
ndeleng,mirsani,menonton
ndelengaken,ningalaken,memperhatikan
ndepes,ndepes,mepet
ndesek,ndesek,mendesak
ndlongop,ndlongop,menganga
ndodok,pinarak,duduk
ndongkel,ndongkel,mencukil
nekakaken,ndugekaken,mendatangkan
nekani,ndugeni,mendatangi
nelangsa,sengsara,sengsara
nemokaken,mangaihaken,menemukan
nemoni,manggihi,menemui
nempataken,nempataken,menempatkan
napsu,nepsu,marah
nerima,nampl,menerima
nerusaken,nerasaken,melanjutkan
nuli,nunten,lalu
ngadang,ngadang,menghadang
ngadeg,jumeneng,berdiri
ngadegaken,ngadegaken,mendirikan
ngadep,ngadep,menghadap
ngadepi,ngadepi,menghadapi
ngadohi,nebihi,menjauhi
ngadu-adu,ngaben-aben,adu domba
ngaku,ngangken,mengaku
ngalap,mapag,menjemput
ngalih,pindah,pindah
ngamba,langkung,lewat
ngambek,ngambek,ngambek
nganggo,ngengge,memakai
nganti,ngantos,sampai
ngantuk,ngantuk,mengantuk
nganyang,ngawis,menawar
ngarani,ngaranimastani,memberi nama
ngarani,nuduh,menuduh
ngarep,ngajeng,kedepan
ngateraken,ngantukaken,mengantarkan
ngatokaken,ningalaken,memperlihatkan
ngeceg,ngasta,memegang
ngedem,ngedem,berendam
ngeden,ngeden,berusaha keras
ngekum,ngekum,merendam
ngeleg,ngeleg,menelan
ngeloni,ngeloni,menidurkan
ngenggoni,ngenggeni,menempati
ngenteni,ngentosi,menanti
ngerti,ngertos,mengerti
ngetokaken,ngedalaken,mengeluarkan
nggal,samban,setiap
nggati,nggantos,mengganti
nggawa,mbakta,membawaa
nggrembel,nggrembel,ngerompol
nggulati,ngilari,mencari
ngilang,ngical,menghilang
ngindur,nglindur,mengigauu
nginep,nyipeng,minap
ngingu,ngingu,memelihara
nginum,ngunjuk,minum
ngirim,ngintun,mengirimn
ngiring,ngiring,mengiring
ngising,tetoya,berak
ngisor,ngandap,di bawah
nglanjutaken,nerasaken,meneruskan
nglimpah,pindah,pindah
ngliwet,mbetek,menanak
ngombe,ngin um,minum
ngomong,nyriyos,berkata
ngongkon,ngengken,menyuruh
ngontog-ontog,ndegel,kesal
ngrasa,ngraos,merasa
ngrecek,ngrecek,gemericik
ngrungu,mireng,mendengar
narupa,narupi,menyerupai
ngubur,metak,mengubur
nguntap,nguntap,kurang sopan
ngupai,maringi,memberi
nguwehi,maringi,memberi
nguyuh,seseni,seseni
ning,dateng,di
ning endi,teng pundi,dimana
ning endi -endi,teng pundit-pundi,dimana-mana
ning kana,teng rikaa,disana
ning kene,teng riki,disiní
ning kono,teng riku,disitu
ninggal dunya,pejah,meninggal
niteni,niteni,memperhatikan
njaga,njagi,menjaga
njaluk,neda,mohon
nlateni,nlateni,menyabari
nom,nem,muda
nonoman,neneman,pemuda
nonton,ningal,nonton
nuku,numbas,membeli
nuli,nunten,kemudian
nulis,nyerat,menulis
numpak,niti,naik
nunggang,niti,menunggang
nunggu,nengga,menunggu
nutugaken,nerasaken,melanjutkan
nutur,madosi,mencari
nuturaken,nyeritakaken,menceritakan
nyacak,nyobi,mencoba
nyakseni,nyakseni,menyaksikan
nyalini,nggentos,mengganti
nyekel,ngasta,memegang
nyelang,nyambut,pinjam
nyelang,nyelang,sisip
nyelub,nyelub,rendam
nyengir,nyengir,tersenyum
nyewot,duka,marah
nyilih,nyambut,meminjam
nylinguk,nylinguk,menoleh
nyoba,nyobi,mencoba
nyritani,nyritani,menceritakan
nyudah,ngirangi,mengurang
nyuguhi,nyuguhi,menghidangkan
nyusul,nyusul,menjemput
obah,obah,robah
obong,obong,bakar
ocek,ocek,kupas
ogoan,ogoan,kolokan
oglek,oglek,goyah
ojeg,ojeg,ojek
oleng,oleng,oleng
omah,griya,rumah
omah-omah,gegriya,berumah tangga
ombe,inum,minum
omben,unjukan,minuman
omong,ngendikan,kata
omong-omong,ngendikan,bercakap-cakap
ompong,daut,ompong
oncom,tempe,tempe
oncor,obor,obor
ongkeb,gerah,gerah
ongkos,ongkos,ongkos
onta,onta,unta
ora,boten,tidak
ora-orane,mboten-botene,stidak-tidaknya
owah,ewah,goncang
oyeg,oyeg,goyang
pacoban,pacobin,percobaan
pacul,pacul,cangkul
pada,sami,sama
padang,padang,terang
padasan,padasan,padasan
padesaan,padusunan,pedesaan
padet,padet,padat
padusan,padusan,pemandian
paidon,pakecoh,tempat meludah
pajeg,pajeg,pajak
palang,palang,palang
paling,paling,paling
panah,panah,panah
panas,panas,panas
panasan,panasan,saingan
panceng,panceng,tepat
pancing,pancing,kail
pandelengan,paningal,penglihatan
panek,panek,panek
panen,panen,panen
pangan,pangan,pangan
panganan,panganan,makanan
panggang,panggang,panggang
panggonan,panggenan,tempat
panguripan,penguripan,penghidupan
pantes,pantes,pantas
papag,papag,jemput
papagan,papagan l kepanggih,berpapasan
papan,papan,papan
papat,sekawan,empat
paran,arah,arah
parani,ndatengi,mendatangi
parek,caket,dekat
parem,boreh,bedak
parl,pantun,padi
paring,nyukani,memberi
paro (separo),palih (sepalih),paruh (separuh)
pasar,peken,pekan
pasaran,pasaran,pasaran
paseduluran,pasederekan,persaudaraan
pati,santen,patih
pati,patos,begitu
patung,patung,arca
patungan,patungan,urunan
payu,pajeng,laku
payung,payúng,payung
pedes,pedes,pedas
pegat (pegatan,pirak (pirakan),cerai
pegawean,pedamelan,pekerjaan
pegel,cape,lelah
pegot,putus,putus
pegunungan,pegunungan,pegunungan
pencet,pejet,tekan
pijet,pencet,pijat
pekarangan,pekawisan,pekarangan
pelanangan,pelanangan,penis
pembarep,pembajeng,sulung
pembuncing,ragil,bungsu
pendek,pendek,pendek
pendem,pendem,pendam
pengajen,pengajen,penghormatan
pengaji,pengaj,bernilai
peng ajjan,pengaosan,pengajian
penganten,penganten,pengantin
pengarep,pengajeng,terkemuka
pengen,pengen,ingin
pengertian,pengertian,pengertian
penggede,pengagung,pembesar
pentolan,pentolan,gembong
pepada,sesami,sesama
pepadan,pepadan,persamaan
pepadang,pepadang,penerang
pepeh,pepeh,berjemur
pepek,pepek,kumplit
pepek rumeng,rupi-rupi,aneka ragam
perak,perak,perak
perawan,rara perawian,gadis
percaya,percanten,percaya
percuma,percumi,percuma
perih (mata),perih,pedih
perih (weteng),perih,melilit
perkara,perkawis,perkara
perlop,perlop,cuti
perlu,peryogi,perlu
permisi,permios,permisi
pernah,nate,pernah
pertama-tama,pertami-tami,pertama-tama
pesawahan,pesawahan,persawahan
pesen,wangkid,pesan
petan,ulik,cari kutu
petarangan,petarangan,sarang
pateng,peteng,gelap
peturon,pesarean,tempat tidur
piandel,kapitadosan,kepercayaan
pijet,petak,pijat
pikir,pikir,pikir
pikiran,pikiran,pikiran
pikulan,rembatan,pikulan
ping,kaping,kali
pinggir,pinggir,tepi
pinicaya,pinitados,dipercaya
pipi,pengarasan,pipi
pira,pinten,berapa
pirang-pirang,katah,banyak
pirant,prantos,buat
pisan,pindah,sekali
plepek,plepek,kejar
plesir,plesir,piknik
pogor,buntu,buntu
pogor,potong,potong
pojok,pojok,pojok
poma,pomi,awas
poma-poma,pomi-pomi,jangan sampai
ponakan,penakan,keponakan
pot,pot,jambangan
poyok,poyok,caci
pragat,pesta,usai
pranti,prantos,untuk
prapatan,prapatan,perempatan
prau,baito,perahu
prentah,prentah,perintah
priben,pripun,bagaimana
prihatin,prihatin,prihatin
priksa,prlyos,periksa
pring,deling,bambu
priyayi,priyantun,priyayi
priye,pripun,bagaimana
puasa,slam,puasa
puden,puden,tumpul
pulen,pulen,pulen
puluhan,dasaan,puluhan
pundak,pamidangan,pundak
punjul,langkung,lebih
puntir,puntir,putar
pupak,daur,ganti gigi
pupu,wentis,paha
pupur,tasik,bedak
puser,tuntunan,pusar
putlh,petak,putih
putu,putu,cucu
putus asa,putus asa,putus asa
puyeng,puyeng,pening
rabl,garwa,istri
rabut,rabut,cabut
rada,radi,agak
radanan,radian,agak
ragu,ragu,ragu
rahayu,wilujeng,selamat
rai,rai pasuryan,wnajah
rambat,rambat,merambat
rambatan,rambatan,pegangan
rambut,rema,rambut
rame,rame,ramal
rampak,rampak,sepadan
rampas,rampass,rampas
rampung,pesta,selesai
rangda,rangda,janda
rata,rata,rata
raup,suryan,cucl muka
rawa,rawa,rawa
rawat,rawat,rawat
rawud,rawud,rawut
raya,riyadin,hari raya
rayap,rayap,anai-anai
rayat,sederek,saudara
rebut,rebat,rebut
rebutan,rebatan,berebut
rega,regi,harga
regas,regas,rapuh
rekasa,sesah,susah
rela,rela,rido
remaja,neneman,remaja
rembug,runding,runding
rembulan,rembulan,candra
remuk,remuk,hancur
rencana,rencana,rencana
rengreng,rengreng,rinci
rerewang,mbantu,membantu
resmi,resmi,resmi
restu,restu,restu
rewang,mbantu,membantu
rewel,rewel,cerewet
ribed,ribed,repot
ribut,ribut,ribut
ridho,ridho,ikhlas
rigel,rigel,jatuh
rigelan,rigelan,jatuhan
rika,panjenengan,anda
rikat,cepet,cepat
rina,siang,siang
riyak,jlagra,dahak
riyaya,riyadin,hari raya
robah,robih,rubah
rogo,rogo,rogo
rokok,rokok,rokok
rolas,kaliwelas,duabelas
rolikur,kalilikur,duapuluhdua
rombak,rombak,rombak
rombeng,rombeng,sobek
rombongan,rombongan,rombongan
rong,guwa,goa
rongatus,kaliatus,duaratus
rongewu,kaliewu,duaribu
rongsok,rongs ok,rongsok
rontog,rontog,rontok
roro,kali,dua
roro-roro,kali-kali,dua-dua
rosa,kiat,kuat
roti asrep,roti tawar,roti tawar
rubuh,rebah,roboh
rubung,kempal,kumpul
rubungan,kempalan,berkumpul
rubung-rubung,rubung-rubung,kumpul-kumpul
rugi,tuna,rugi
rumasa,rumaos,merasa
rumat,remat,jaga
rumpil,rumpil,rumpil
rumpon,rumpon,angker
runding,runding,runding
rundingan,rundingan,rundingan
rungu,pireng,dengar
runtut,rukun,rukun
rupa,rupi,rupa
rupa-rupa,rupi-rupi,rupa-rupa
rupek,ripek,sempit
ruru,madosi,mencari
rusak,risak,rusak
rusuh,rusuh,nakal
ruwed,ruwed,ruwet
saarepe,saajenge,di depannya
samban,samban,setiap
sabar,sabar,sabar
saben,saben,setiap
sabenere,salerese,sebenarnya
sabrang,cabe,cabai
sabuk,sabuk,sabuk
saburie,sapengkere,di belakangnya
sacuwil,sekedik,sedikit
sadelat (sadekat),sekedap,sebentar
sadina,sadinten,sehari
sadurunge,saderenge,sebelumnya
saking,saking,dari
sakiyen (kiyen),sapuniki,sekarang
sakiyen (samene),semanten,sekian
salah,sawon,salah
salawase,saelamine,selamanya
salawe,selangkung,dua puluh lima
salin,gantos,ganti
samana,semanten,sekian
samban,samban,setiap
samene,samenten,sekian
samono,samonten,segitu
sampe,sampe,sampai
sanajana,sanaosa,sekalipun
sandangan,ageman,pakaian
sangit,sangit,sangit.
santer,santer,cepat
sapa (nyapa),sapa (taken),sapa
sapa (siapa),sinten,siapa
sapi,sapi,sapi flembu
sapih,pegeng,menyapih
sapira,sepinten,seberapa
sapisan,sepisan,satu kali
sapu,sapu,sapu
saring,saring,saring
sarung,sarung,sarung
sate,sate,satai
sateruse,saterase,seterusnya
satitik,sekedik,sedikit
satoan,kewan,hewan
sawah,sabin,sawah
sawise,sesampune,sesudahnya
sebab,karenten,karena
sebut,sebat,sebut
sedulur,sederek,saudara
sedulur misan,sederek misän,saudara misan
sedulur nom,sederek nem,adik
sedulur tuwa,sederak sepah,kakak
sepuluh,sedasa,selawe
sering,asring,kerap
seru,seru,nyaring
setaun,senaun,setahun
sewet,sewet,benting
sewot,nepsu,marah
sida,ciyos,jadi
sigar,sigar,belah
sii,setunggal,satu
sikil,sampeyan,kaki
sikut,sikut,siku
silih,ampil,pinjam
sing,saking,dari
singa,sima,singa
singendi,sakingpundi,darimana
singkana,sakingrika,darisana
singkene,singriki,darisini
sira,panjenengan,anda
sisi,sisi,samping
sisih,semprit,sengseng
sokong,sokong,dukung
solokan,solokan,selokan
sor,andap,bawah
sore,sonten,petang
srobot,srobot,rebut
sugih,sugih,kaya
suket,suket,rumput
sukiki,benjing,besok
sunat,khitan,khitan
supaya,supados,supaya
surak,surak,sorak
surat,layang,nawala
suruh,sirih,sirih
surup,surup,terbenam
susah,sesah,sukar
susu (orang),pembayun,susu
susu (sapi),susu,susu
suwara,suwanten,suara
suwe,dangu,lama
suwe-suwe,dangu-dangu,lama kelamaan
suwiwi (cuwiwi),suwiwi,sayap
tabib,tabib,tabib
tabu,tabu,pantangan
tai,tinja,tinja
takon,tangled,tanya
talang,gentos,ganti
tali,tali,tali
tamba,loloh,obat
tambah,tambih,tambah
tambang,tambang,tambang
tamu,dayoh,tamu
tanda,tanda,tanda
tandatangan,tapak asta,tandatangan
tandur,tanem,tanam
tangan,asta,asta
tangga,tangg,tetangga
tanggung,tanggel,tanggung
tanggungjawab,tanggungjawab,tanggungjawab
tangi,wungu,bangun
tangis,mular,tangis
tangtu,tamtos,tentu
tani,tanos,tani
tapa,tapa,bertapa
tapi,tapi,tetapi
tapih,sinjang,kain panjang
tape,tape,tapai
tari,taros tantun,lamar
tarik,tarik,tarik
tata,tata,pahat
tatal,tatal,tatal
taun,taun,tahun
taunan,naunan,tahunan
tawa,tawis,tawar
tebu,rorosan,tebu
teka,teka,datang
teka ning,rawuh,sampai di.
teken,dumugi teng,tandatangan
(td.tangan),teken,tongkat
teken (tongkat),teken,terlambat
telat,telat,telat
telik,njelimet,jelimet
telik sandi,rusia,rahasia
telu,tiga,tiga
telulas,tigawelas,tiga belas
telulikur,tigalikur,dua puluh tiga
telungatus,tagangatus,tiga ratus
telungewu,tigangewu,tiga ribu
tembaga,tembaga,tembaga
tembang,tembang,nyanyian
tembus,tembus,tembus
temen,pindah,sekali
temenan,leres,sungguh
tempuh,gentos,ganti
temu,kepanggih,bertemu
tengah,tengah,tengah
tenimbang,tenimbang,dari pada
tepes,tepes,sabut
tepung (kenal),tepang,kenal
tepung (nyambung),tepang,nyambung
teratur,teratur,teratur
terima,tampi,terima
tertib,tertib,tertib
terus,teras,terus
tetepungan,tetepangan,perkenalan
tetes banyu),tetes,tetes
tetes (endog),tetes,tetas
tetuwa,sesepuh,orang tua
tiba,dawah,jatuh
tikus,berit,tikus
tilik,seba,jenguk
tinggal,tilar,tinggal
inggal dunya,tilar dunya,meninggal
tiru,tiru,tiru
tiruan,tiruan,tiruan
tliksik,tliksik,rumit
tonton,tingal,tonton
tontonan,tontonan,tontonan
trengginas,tren gginas,tangkas
truwelu,truwelu,kelinci
tuduh,tedah,sangka
tugel,putus,patah
tukar (tukaran),padu,tengkar
tukar (urupan),tukar,tukar
tukaran,tukaran,bertengkar
tuku,mundut,beli
tulis,serat,tulis
tulung,tulung,tolong
tuma,tuma,kutu
tuman,tuman,madat
tumbak,tumbak,tombak
tumpah,tumpah,tumpah
tumpak,titi,naik
tumpuk,tumpuk,timbun
tuna,tuna,rugi
tunda,taro,taruh
tunggal,sami,sama
tunggang,titi,tunggang
tunggangan,titian,tunggangan
tunggu,tengga,tunggu
tungkak,tungkak,tumit
turon,sarean,tiduran
turu,sare,tidur
turunan,turunan,keturunan
turunan (nyontek),turunan,nyontek
tutu,gentang,tumbuk padi
tutup,tutup,tutup
tutur,sanjang,cerita
tuwa,sepah,tua
tuwak,tuwak,tuak
tuwan,tuwan,tuan
ucap,canten,kata
ucul,ucul,lepas
udag,udag,kejar
udal,udal,bongkar
udan,jawoh,hujan
udan-udanan,jawoh-jawohan,hujanhujanan
udar,udar,lepas
udeng,destar,ikat kepala
udud,rokok,rokok
udun,turun,turun
udur,alangan,halangan
uga,ugi,juga
ujar-ujar,ujar-ujar,sumpah
uji,uji,coba
ujug-ujug,ujug-ujug,tiba-tiba
ukir,ukir,ukir
ukiran,ukiran,ukiran
ukuman,ukuman,hukuman
ukur,ukur,ukur
ula,sawer,ular
ulem,ulem,undangan
ulem-ulem,ulem-ulem,undang-undang
ulu,riyin,dahulu
ulur,ulur,ulur
umah,dalein,rumah
umah-umah,emah-emah,rumah tangga
umbag,umbag,tingkat
umbah,cuci,cuci
umbang,duka,marah
umbar,umbar,lepas
umbel,umbel gading,ingus
umpak,umpak,ganjal
umpama,upami,umpama
umum,umum,umum
umur,yuswa,usia
undag,undag,tingkat
undak,indak,lebih
undang,undang,panggil
undur,undur,undur
undur-undur,undur-undur,binatang bukang
unen-unen,unen-unen,bebunyian
unggah,inggah,naik
unggahunggahan,inggahinggahan,kenaikan
unggah-unggahan,tanjakan,pendakian
unggah-ungguh,unggahungguh,tata karma
ungkur,pengker,belakang
uni,ungel,bunyi
unine,ungele,suaranya
unjal,unjal,angkut
unjuk,inggil,atas
untu,waja,gigi
untuk,untuk,buih
untuk,[untuk,,busa
untung,untung,untung
unyeng-unyeng,unyeng-unyeng,pusar kepala
upa,upa,bagian dan nasi
upah,upah,bayaran
upama,upami,umpama misal
urang,urang,udang
urip,gesang,hidup
urung,boten tulus,urung
usil,usil,usil
usul,ucul,usul
usum,usum,musim
usung,usung,angkat
utang,ampil,pinjam
utawa,atanapi,atau
utik,utik,ganggu
uwis,sampun,sudah
uwong,tiyang,orang
uwot,uwot,titian
uyah,sarem,garam
uyuh,seni,urin
uyup,uyup,inum
uzur,alangan,alangan
waca,waos,baca
wacan,waosan,bacaan
wadah,wadah,tempat
wadon,estri,perempuan
wain,wain,bersin
waktu,wekdal,waktu
wani,wantun,berani
wanita,wanita,wanita
wantu,tambih,tambah
wara,pajar,memberitahu
wara,pajar,memberitahu
waras,waluya,sembuh
wareg,tuwuk,kenyang
warga,wargi,warga
warisan,wansan,warisan
warma,wami,warna
wartawan,wartawan,wartawan
warung,warung,kedai
wasiat,wasiat,pesan
wates,wates bates,batas
watir,kuwatos,kuatir
watu,sela,batu
watuk,cekoh,batuk
wayah,wanci,waktu
wayang,wayang,wayang
wedang,wedang,air matang
wedi,ajrih,takut
wedi,pasir,pasir
wedus,menda,kambing
wejangan,nasehat,nasehat
welut,welut,belut
wengi,dalu,malan
wema,warni,warna
werna-rupa,warni rupi,aneka rag am
wema-werna_,warni-warni,warna warna
weruh,uninga,tahu
wesi,tosan,besi
wesuh,wesuh,cuci
weteng,pedaharan,perut
weton,wedalan,keluaran
wewara,pepajar,memberi tahu
wewara,kabar,berita
weweh,nyukani,memberi
wicara,ngandika,bicara
wilang,wilang,hitung
wingi,wingi,kemarin
wini,wintun,benih padi
wirang,wirang,aib
wis,sampun,sudah
wit,wit,pohon
woh,woh,buah
wong,tiyang,orang
wong tuwa,tiyang sepah,orang tua
wot,wot,titian
wran gka,wrangka,kerangka
wuda,wuda,telanjang
wudel,tutukan,pusar
wudun,wudun,bisul
wulan(waktu),sasi,bulan
wulan-(planit),candra,bulan
wulang,wucal,ajar
wulu,wulu,bulu
wuruk,wucal,ajar
wurung,sande,batal
wuta,picek,buta
wutuh,wutuh,utuh
wuwu,wuwu,bubu
ya,enggih,ya
yaiku,inggih punika,yaitu
yen,upami,kalau
yongan,yong,karena
yuyu,ketam,ketam
zakar,zakar,penis
zakat,zakat,zakat
zaman,zaman,zaman
ziarah,ziarah,ziarah
sega,sekul,nasi
segara,seganten,laut
segenah,setempat,setempat
sejen,benten,beda
selang,selang,sisip
selamet,wilujeng,rahayu
selang,sambut,pinjam
selang (pipa karet),selang,selang
selap,selang,sisip
sele,sele,salai
sele (beda),benten,lain
selean,benten,berlainan
semana,semanten,sekian
semene,samenten,segini
semono,semonten,segitu
semrawut,semrawut,semrawut
semut,semut,semut
sendok,sendok,sendok
seneng,rena,senang
sengit,sengit,benci
sengsara,sengsara,sengsara
senter,senter,sbrot
separoh,sepalih,separuh
sep,sepen,suny
sapisan,sepindah sekali,sekali
sepi nyanyep,sepi nyanyep,sunyi sepi
kari,kantun,ketinggalan
karian,kantunan,sisa
karo,tuwin,dengan
karuan,kantenan,pasti
kasep,kekantunan,terlambat
kasep,sae,bagus
katisen,katisen,kedinginan
katok,lancingan,celana pendek
katon,ketingal,tampak
kaya,kados,seperti
kayu,kajeng,kayu
kebo,maisa,kerbau
kebon,kebon,kebun
keburu,kebujeng,keburu
kecandak,kecepeng,tertangkapp
kedeleng,ketingal,tampak
kegugu,kegugu,geli (tertawa)
kejaba,kejawi,kecuali
kelalen,kesupen,lalai
kelar,pesta,selesai
kelingan,kemutan,ingat
kelir,beres,selesai
kelir,kelir,layar
kelinu,kelintu,keliru
keluwarga,kaluwargi,keluarga
kembang,kembang,bunga
